"idejemplar","numcatalogo","numcolecta","coleccion","institucion","fechacolecta","calificadordeterminacion","procedenciaejemplar","ejemplarfosil","obsusoinfo","cuarentena","formadecitar","licenciauso","probablelocnodecampo","proyecto","urlorigen","ultimafechaactualizacion","version","familia","genero","especie","categoriainfraespecie","categoriainfraespecie2","reinovalido","phylumdivisionvalido","clasevalida","ordenvalido","familiavalida","generovalido","especievalida","categoriainfraespecievalida","categoriainfraespecie2valida","autorvalido","grupobio","subgrupobio","cites","iucn","nom059","prioritaria","nivelprioridad","exoticainvasora","endemismo","longitud","latitud","paisoriginal","paismapa","estadooriginal","estadomapa","municipiooriginal","municipiomapa","localidad","anp","altitudmapa","regionmarinamapa","geoportal"
"3380e405af2f6d2013ce816230dc2a70","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2018-03-25","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2019. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY","","Naturalista","https://www.inaturalist.org/observations/10442805","2023-06-15","2021-03","Atelidae","Alouatta","Alouatta pigra","","","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","Alouatta villosa","","","(Gray, 1845)","Mamíferos","changos, monos, simios","Apéndice I (El nombre publicado en CITES 2022 es Alouatta pigra (ver relaciones de sinonimia).)","En peligro (EN) (En IUCN Red List 2022-2 como Alouatta pigra (ver relaciones de sinonimia).)","En peligro de extinción (P)","DOF 2014","Alta","","","-87.6692537","20.6660171","MEXICO","MEXICO","QUINTANA ROO","QUINTANA ROO","SOLIDARIDAD","SOLIDARIDAD","Quintana Roo, MX","Federal: Otoch Ma'ax Yetel Kooh","28","","0"
"f0bfc696e8d28e7bd7d9fc7d9a23cf0b","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2008-11-07","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2019. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-NC","","Naturalista","https://www.inaturalist.org/observations/9755165","2023-06-15","2021-03","Atelidae","Alouatta","Alouatta pigra","","","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","Alouatta villosa","","","(Gray, 1845)","Mamíferos","changos, monos, simios","Apéndice I (El nombre publicado en CITES 2022 es Alouatta pigra (ver relaciones de sinonimia).)","En peligro (EN) (En IUCN Red List 2022-2 como Alouatta pigra (ver relaciones de sinonimia).)","En peligro de extinción (P)","DOF 2014","Alta","","","-89.7000573","18.1750984","MEXICO","MEXICO","CAMPECHE","CAMPECHE","CALAKMUL","CALAKMUL","Campeche, MX","Federal: Calakmul","295","","0"
"a9f7b6fd1150ab7354a39447c3273990","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2018-05-09","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2021. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-NC-ND","","Naturalista","https://www.inaturalist.org/observations/42601800","2023-06-15","2021-03","Atelidae","Alouatta","Alouatta pigra","","","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","Alouatta villosa","","","(Gray, 1845)","Mamíferos","changos, monos, simios","Apéndice I (El nombre publicado en CITES 2022 es Alouatta pigra (ver relaciones de sinonimia).)","En peligro (EN) (En IUCN Red List 2022-2 como Alouatta pigra (ver relaciones de sinonimia).)","En peligro de extinción (P)","DOF 2014","Alta","","","-89.2714435","17.9254759","MEXICO","MEXICO","CAMPECHE","CAMPECHE","CALAKMUL","CALAKMUL","Mexico","Federal: Calakmul (a 4.543 km)","116","","0"
"80012665eb35c1cc477bd28501afeb3a","NO DISPONIBLE","NO DISPONIBLE","MSU Mammal Research Collection","MSU Michigan State University","","","PreservedSpecimen","","","","Muñoz-Alonso L. A. y I. J. March-Mifsut. 2003. Actualización y enriquecimiento de las bases de datos del proyecto de evaluación y análisis geográfico de la diversidad faunística de Chiapas. El Colegio de la Frontera Sur. Bases de datos SNIB-CONABIO, proyectos U014 y P132. México, D. F.","CC-BY","","U014","","2023-05-26","2021-03","Atelidae","Alouatta","Alouatta pigra","","","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","Alouatta villosa","","","(Gray, 1845)","Mamíferos","changos, monos, simios","Apéndice I (El nombre publicado en CITES 2022 es Alouatta pigra (ver relaciones de sinonimia).)","En peligro (EN) (En IUCN Red List 2022-2 como Alouatta pigra (ver relaciones de sinonimia).)","En peligro de extinción (P)","DOF 2014","Alta","","","-88.5277778","20.84","MEXICO","MEXICO","YUCATAN","YUCATAN","DZITAS","DZITAS","Dzitas","","26","","1"
"8caa74a42de5210dd74878875232f895","NO DISPONIBLE","NO DISPONIBLE","MSU Mammal Research Collection","MSU Michigan State University","1970-01-01","","PreservedSpecimen","","","","Muñoz-Alonso L. A. y I. J. March-Mifsut. 2003. Actualización y enriquecimiento de las bases de datos del proyecto de evaluación y análisis geográfico de la diversidad faunística de Chiapas. El Colegio de la Frontera Sur. Bases de datos SNIB-CONABIO, proyectos U014 y P132. México, D. F.","CC-BY","","U014","","2023-05-26","2021-03","Atelidae","Alouatta","Alouatta pigra","","","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","Alouatta villosa","","","(Gray, 1845)","Mamíferos","changos, monos, simios","Apéndice I (El nombre publicado en CITES 2022 es Alouatta pigra (ver relaciones de sinonimia).)","En peligro (EN) (En IUCN Red List 2022-2 como Alouatta pigra (ver relaciones de sinonimia).)","En peligro de extinción (P)","DOF 2014","Alta","","","-88.5277778","20.84","MEXICO","MEXICO","YUCATAN","YUCATAN","DZITAS","DZITAS","Dzitas","","26","","1"
"9d0f4f1bcf1b81973261ca4ceda68c18","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2017-02-21","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2019. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-NC","","Naturalista","https://www.inaturalist.org/observations/7427607","2023-06-15","2021-03","Atelidae","Alouatta","Alouatta pigra","","","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","Alouatta villosa","","","(Gray, 1845)","Mamíferos","changos, monos, simios","Apéndice I (El nombre publicado en CITES 2022 es Alouatta pigra (ver relaciones de sinonimia).)","En peligro (EN) (En IUCN Red List 2022-2 como Alouatta pigra (ver relaciones de sinonimia).)","En peligro de extinción (P)","DOF 2014","Alta","","","-92.0144364","17.4517463","MEXICO","MEXICO","CHIAPAS","CHIAPAS","PALENQUE","PALENQUE","Palenque, MX-CH, MX","Federal: Palenque (a 2.997 km)","156","","0"
"88370de92a98d3a11788f7d773b41325","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2019-07-31","","HumanObservation","","El ejemplar se encuentra a 5,458 m. del municipio registrado. Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2021. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-NC","","Naturalista","https://www.inaturalist.org/observations/29963456","2023-06-15","2021-03","Atelidae","Alouatta","Alouatta pigra","","","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","Alouatta villosa","","","(Gray, 1845)","Mamíferos","changos, monos, simios","Apéndice I (El nombre publicado en CITES 2022 es Alouatta pigra (ver relaciones de sinonimia).)","En peligro (EN) (En IUCN Red List 2022-2 como Alouatta pigra (ver relaciones de sinonimia).)","En peligro de extinción (P)","DOF 2014","Alta","","","-92.1210274","17.4152303","MEXICO","MEXICO","CHIAPAS","CHIAPAS","PALENQUE","SALTO DE AGUA","Palenque, MX-CH, MX","","557","","0"
"21a02a855f3cad8ebb71b0ee3d0aabb3","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2013-03-28","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","","","Naturalista","http://conabio.inaturalist.org/observations/2558130","2023-05-26","2021-03","Atelidae","Alouatta","Alouatta pigra","","","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","Alouatta villosa","","","(Gray, 1845)","Mamíferos","changos, monos, simios","","En peligro (EN) (En IUCN Red List 2022-2 como Alouatta pigra (ver relaciones de sinonimia).)","","","","","",,,"","","","","","","","",,"","0"
"c1769afd646cfe13845b26f9a845afe9","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2013-03-27","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","","","Naturalista","http://conabio.inaturalist.org/observations/2498950","2023-05-26","2021-03","Atelidae","Alouatta","Alouatta pigra","","","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","Alouatta villosa","","","(Gray, 1845)","Mamíferos","changos, monos, simios","","En peligro (EN) (En IUCN Red List 2022-2 como Alouatta pigra (ver relaciones de sinonimia).)","","","","","",,,"","","","","","","","",,"","0"
"eff9d169b8bf812ac8e77da1e4ed629a","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2013-03-28","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","","","Naturalista","http://conabio.inaturalist.org/observations/2558137","2023-05-26","2021-03","Atelidae","Alouatta","Alouatta pigra","","","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","Alouatta villosa","","","(Gray, 1845)","Mamíferos","changos, monos, simios","","En peligro (EN) (En IUCN Red List 2022-2 como Alouatta pigra (ver relaciones de sinonimia).)","","","","","",,,"","","","","","","","",,"","0"
