"idejemplar","numcatalogo","numcolecta","coleccion","institucion","fechacolecta","calificadordeterminacion","procedenciaejemplar","ejemplarfosil","obsusoinfo","cuarentena","formadecitar","licenciauso","probablelocnodecampo","proyecto","urlorigen","ultimafechaactualizacion","version","familia","genero","especie","categoriainfraespecie","categoriainfraespecie2","reinovalido","phylumdivisionvalido","clasevalida","ordenvalido","familiavalida","generovalido","especievalida","categoriainfraespecievalida","categoriainfraespecie2valida","autorvalido","grupobio","subgrupobio","cites","iucn","nom059","prioritaria","nivelprioridad","exoticainvasora","endemismo","longitud","latitud","paisoriginal","paismapa","estadooriginal","estadomapa","municipiooriginal","municipiomapa","localidad","anp","altitudmapa","regionmarinamapa","geoportal"
"379bc781f240715faecc474258daf1ad","4191","","CNAR Colección Nacional de Anfibios y Reptiles","IBUNAM Instituto de Biología, Universidad Nacional Autónoma de México","1983-02-03","","PreservedSpecimen","","","","Sánchez Cordero V., Magallón S., Espinosa, H., Reynoso V.H., Escalante, P. y Cervantes, F. 2021. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB CONABIO (vertebrados), proyecto KE002. Ciudad de México","CC-BY","","KE002","","2023-05-26","2022-11","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-99.14","19.27","MEXICO","MEXICO","CIUDAD DE MEXICO","CIUDAD DE MEXICO","XOCHIMILCO","XOCHIMILCO","Xochimilco","Federal: Fuentes Brotantes de Tlalpan (a 4.173 km) / Estatal: Ejidos de Xochimilco y San Gregorio Atlapulco (a 2.233 km)","2289","","1"
"244b9df809e7e00684db62b990097ff1","ZMA.RENA.9426","","NL Herpetological Collection","NL Naturalis Biodiversity Center","","","PreservedSpecimen","","","","Dondorp E, Creuwels J (2022). Naturalis Biodiversity Center (NL) - Amphibia and Reptilia. Naturalis Biodiversity Center. Occurrence dataset https://doi.org/10.15468/ythnjq accessed via GBIF.org on 2022-07-07.","CC0_1_0","","gbif_2021","https://www.gbif.org/occurrence/2434491141","2023-05-26","2022-11","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica",,,"MEXICO","","","","","","","",,"","0"
"17697e0b4f8671b13e1a8a3c551f05ef","6279","IBHED 430","CNAR Colección Nacional de Anfibios y Reptiles","IBUNAM Instituto de Biología, Universidad Nacional Autónoma de México","","","PreservedSpecimen","","","","Sánchez Cordero V., Magallón S., Espinosa, H., Reynoso V.H., Escalante, P. y Cervantes, F. 2021. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB CONABIO (vertebrados), proyecto KE002. Ciudad de México","CC-BY","","KE002","","2023-05-26","2022-11","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-99.14","19.26","MEXICO","MEXICO","CIUDAD DE MEXICO","CIUDAD DE MEXICO","XOCHIMILCO","XOCHIMILCO","Lago de Xochimilco, canal del bordo de Xochimiloco","Federal: Fuentes Brotantes de Tlalpan (a 4.815 km) / Estatal: Ejidos de Xochimilco y San Gregorio Atlapulco (a 2.714 km)","2366","","1"
"9d8b3c7dd6018c0fe73e6a795b72c285","6280","IBHED 431","CNAR Colección Nacional de Anfibios y Reptiles","IBUNAM Instituto de Biología, Universidad Nacional Autónoma de México","","","PreservedSpecimen","","","","Sánchez Cordero V., Magallón S., Espinosa, H., Reynoso V.H., Escalante, P. y Cervantes, F. 2021. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB CONABIO (vertebrados), proyecto KE002. Ciudad de México","CC-BY","","KE002","","2023-05-26","2022-11","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-99.14","19.26","MEXICO","MEXICO","CIUDAD DE MEXICO","CIUDAD DE MEXICO","XOCHIMILCO","XOCHIMILCO","Lago de Xochimilco, canal de Xantongo","Federal: Fuentes Brotantes de Tlalpan (a 4.815 km) / Estatal: Ejidos de Xochimilco y San Gregorio Atlapulco (a 2.714 km)","2366","","1"
"3d8184cb6e2104748d69bedcfbfad18c","MZFC19575","","MZFC-HE Colección Herpetológica","FC-UNAM Facultad de Ciencias, Universidad Nacional Autónoma de México","","","PreservedSpecimen","","","","Flores-Villela. O.A, L. M. Ochoa-Ochoa, A. Domínguez-Pérez, B. Chávez-Galván y J. Campell. 2016. Anfibiofauna endémica frente al cambio climático: análisis de sensibilidad e incertidumbre. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto JM022. Ciudad de México","CC-BY","","JM022","","2023-05-26","2021-03","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-99.1988999","19.4175999","MEXICO","MEXICO","DISTRITO FEDERAL","CIUDAD DE MEXICO","","MIGUEL HIDALGO","Lago Mayor, Chapultepec.","Estatal: Barranca Tecamachalco: Polígono 1 (a 2.808 km)","2281","","1"
"293b5317e32cbc20494390fe84c854d0","A-2370","","MCZ Herpetology Collection","MCZ-HU Museum of Comparative Zoology, Harvard University","","","PreservedSpecimen","","","","Harvard University M, Morris P J (2022). Museum of Comparative Zoology, Harvard University. Version 162.323. Museum of Comparative Zoology, Harvard University. Occurrence dataset https://doi.org/10.15468/p5rupv accessed via GBIF.org on 2022-07-07.","CC_BY_NC_4_0","","gbif_2017","https://www.gbif.org/occurrence/476474190","2023-05-29","2022-11","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica",,,"MEXICO","","","","","","Mexico (northern)","",,"","0"
"2550b94a35df0ce25bd10c74e20dedd1","17281","","CNAR Colección Nacional de Anfibios y Reptiles","IBUNAM Instituto de Biología, Universidad Nacional Autónoma de México","1968-03-27","","PreservedSpecimen","","","","Sánchez Cordero V., Magallón S., Espinosa, H., Reynoso V.H., Escalante, P. y Cervantes, F. 2021. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB CONABIO (vertebrados), proyecto KE002. Ciudad de México","CC-BY","","KE002","","2023-05-26","2022-11","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica",,,"MEXICO","","MEXICO","","ATENCO","","Lago Atenco","",,"","0"
"2c8ea2e82a771e74bea7779835927add","17722","IBHED 898","CNAR Colección Nacional de Anfibios y Reptiles","IBUNAM Instituto de Biología, Universidad Nacional Autónoma de México","1988-07-18","","PreservedSpecimen","","","","Sánchez Cordero V., Magallón S., Espinosa, H., Reynoso V.H., Escalante, P. y Cervantes, F. 2021. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB CONABIO (vertebrados), proyecto KE002. Ciudad de México","CC-BY","","KE002","","2023-05-26","2022-11","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica",,,"MEXICO","","CIUDAD DE MEXICO","","XOCHIMILCO","","Xochimilco, Cuemanco","",,"","0"
"cf31ff1ba55c17a6f854640898390dde","25840","JAC 221","CNAR Colección Nacional de Anfibios y Reptiles","IBUNAM Instituto de Biología, Universidad Nacional Autónoma de México","","","PreservedSpecimen","","","","Sánchez Cordero V., Magallón S., Espinosa, H., Reynoso V.H., Escalante, P. y Cervantes, F. 2021. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB CONABIO (vertebrados), proyecto KE002. Ciudad de México","CC-BY","SI","KE002","","2023-05-26","2022-11","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica",,,"MEXICO","","CIUDAD DE MEXICO","","XOCHIMILCO","","Acuario Zona chinampera","",,"","0"
"6f41599be5c4bf336906a81bdff2a529","27649","3","CNAR Colección Nacional de Anfibios y Reptiles","IBUNAM Instituto de Biología, Universidad Nacional Autónoma de México","1997-07-28","","PreservedSpecimen","","","","Sánchez Cordero V., Magallón S., Espinosa, H., Reynoso V.H., Escalante, P. y Cervantes, F. 2021. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB CONABIO (vertebrados), proyecto KE002. Ciudad de México","CC-BY","","KE002","","2023-05-26","2022-11","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum","","","(Shaw & Nodder, 1798)","Anfibios","ajolotes, salamandras, tritones","Apéndice II","En peligro crítico (CR)","En peligro de extinción (P)","DOF 2014","Alta","","Endémica","-99.10045","19.29139","MEXICO","MEXICO","CIUDAD DE MEXICO","CIUDAD DE MEXICO","XOCHIMILCO","XOCHIMILCO","Xochimilco","Federal: Cerro de La Estrella (a 3.451 km) / Estatal: Ejidos de Xochimilco y San Gregorio Atlapulco","2239","","1"
