"idejemplar","numcatalogo","numcolecta","coleccion","institucion","fechacolecta","calificadordeterminacion","procedenciaejemplar","ejemplarfosil","obsusoinfo","cuarentena","formadecitar","licenciauso","probablelocnodecampo","proyecto","urlorigen","ultimafechaactualizacion","version","familia","genero","especie","categoriainfraespecie","categoriainfraespecie2","reinovalido","phylumdivisionvalido","clasevalida","ordenvalido","familiavalida","generovalido","especievalida","categoriainfraespecievalida","categoriainfraespecie2valida","autorvalido","grupobio","subgrupobio","cites","iucn","nom059","prioritaria","nivelprioridad","exoticainvasora","endemismo","longitud","latitud","paisoriginal","paismapa","estadooriginal","estadomapa","municipiooriginal","municipiomapa","localidad","anp","altitudmapa","regionmarinamapa","geoportal"
"debcb53c70861f528044b8564baa14ff","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","","","MaterialCitation","","","","Servín-Martínez J. I. 2007. Distribución histórica, prospección actual y áreas potenciales para reintroducir lobo mexicano (Canis lupus baileyi) en Durango, sur de la Sierra Madre Occidental, México. Universidad Juárez del Estado de Durango. Bases de datos SNIB-CONABIO, proyecto BE029. México, D. F.","CC-BY","","BE029","","2023-05-26","2021-03","Canidae","Canis","Canis lupus baileyi","subespecie","","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus baileyi","subespecie","","E. W. Nelson & Goldman, 1929","Mamíferos","coyotes, lobos, perros, zorros","Apéndice II","Preocupación menor (lc)","En peligro de extinción (P)","DOF 2014","Alta","","","-104.89705","23.60273","MEXICO","MEXICO","DURANGO","DURANGO","DURANGO","DURANGO","CERRO PUNTEÑAS","","2636","","1"
"42c4309489f695659b702be730b5deec","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","","","MaterialCitation","","","","Servín-Martínez J. I. 2007. Distribución histórica, prospección actual y áreas potenciales para reintroducir lobo mexicano (Canis lupus baileyi) en Durango, sur de la Sierra Madre Occidental, México. Universidad Juárez del Estado de Durango. Bases de datos SNIB-CONABIO, proyecto BE029. México, D. F.","CC-BY","","BE029","","2023-05-26","2021-03","Canidae","Canis","Canis lupus baileyi","subespecie","","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus baileyi","subespecie","","E. W. Nelson & Goldman, 1929","Mamíferos","coyotes, lobos, perros, zorros","Apéndice II","Preocupación menor (lc)","En peligro de extinción (P)","DOF 2014","Alta","","","-103.9146944","24.0219167","MEXICO","MEXICO","DURANGO","DURANGO","POANAS","POANAS","LA OCHOA","","2018","","1"
"918d890e43e62c6f5dad989b01df0645","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","","","MaterialCitation","","","","Servín-Martínez J. I. 2007. Distribución histórica, prospección actual y áreas potenciales para reintroducir lobo mexicano (Canis lupus baileyi) en Durango, sur de la Sierra Madre Occidental, México. Universidad Juárez del Estado de Durango. Bases de datos SNIB-CONABIO, proyecto BE029. México, D. F.","CC-BY","","BE029","","2023-05-26","2021-03","Canidae","Canis","Canis lupus baileyi","subespecie","","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus baileyi","subespecie","","E. W. Nelson & Goldman, 1929","Mamíferos","coyotes, lobos, perros, zorros","Apéndice II","Preocupación menor (lc)","En peligro de extinción (P)","DOF 2014","Alta","","","-104.89657","23.60777","MEXICO","MEXICO","DURANGO","DURANGO","DURANGO","DURANGO","CERRO PUNTEÑAS","","2646","","1"
"f6daf405c8462781082939f25fbb3572","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","","","MaterialCitation","","","","Servín-Martínez J. I. 2007. Distribución histórica, prospección actual y áreas potenciales para reintroducir lobo mexicano (Canis lupus baileyi) en Durango, sur de la Sierra Madre Occidental, México. Universidad Juárez del Estado de Durango. Bases de datos SNIB-CONABIO, proyecto BE029. México, D. F.","CC-BY","","BE029","","2023-05-26","2021-03","Canidae","Canis","Canis lupus baileyi","subespecie","","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus baileyi","subespecie","","E. W. Nelson & Goldman, 1929","Mamíferos","coyotes, lobos, perros, zorros","Apéndice II","Preocupación menor (lc)","En peligro de extinción (P)","DOF 2014","Alta","","","-109.0219444","29.93525","MEXICO","MEXICO","SONORA","SONORA","BACADEHUACHI","BACADEHUACHI","ARROYO EL LOBO","","1473","","1"
"367f664d9f6a0342034b064aa74fcf60","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","","","MaterialCitation","","","","Servín-Martínez J. I. 2007. Distribución histórica, prospección actual y áreas potenciales para reintroducir lobo mexicano (Canis lupus baileyi) en Durango, sur de la Sierra Madre Occidental, México. Universidad Juárez del Estado de Durango. Bases de datos SNIB-CONABIO, proyecto BE029. México, D. F.","CC-BY","","BE029","","2023-05-26","2021-03","Canidae","Canis","Canis lupus baileyi","subespecie","","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus baileyi","subespecie","","E. W. Nelson & Goldman, 1929","Mamíferos","coyotes, lobos, perros, zorros","Apéndice II","Preocupación menor (lc)","En peligro de extinción (P)","DOF 2014","Alta","","","-105.83828","25.0261","MEXICO","MEXICO","DURANGO","DURANGO","SANTIAGO PAPASQUIARO","SANTIAGO PAPASQUIARO","EL YAQUI","","2559","","1"
"53fb7cd41fb3218564198eb47f7b40d9","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2016-12-01","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-SA","","Naturalista","https://www.inaturalist.org/observations/69907864","2023-05-26","2021-03","Canidae","Canis","Canis lupus baileyi","subespecie","","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus baileyi","subespecie","","E. W. Nelson & Goldman, 1929","Mamíferos","coyotes, lobos, perros, zorros","","Preocupación menor (lc)","","","","","",,,"","","","","","","","",,"","0"
"a16c0b0296eb9e6cd21b4ed4d91f47b3","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2016-12-01","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-SA","","Naturalista","https://www.inaturalist.org/observations/69907632","2023-05-26","2021-03","Canidae","Canis","Canis lupus baileyi","subespecie","","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus baileyi","subespecie","","E. W. Nelson & Goldman, 1929","Mamíferos","coyotes, lobos, perros, zorros","","Preocupación menor (lc)","","","","","",,,"","","","","","","","",,"","0"
"a33c5207ef8bdb19ac41398c9894b324","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2018-09-17","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-SA","","Naturalista","https://www.inaturalist.org/observations/69907067","2023-05-26","2021-03","Canidae","Canis","Canis lupus baileyi","subespecie","","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus baileyi","subespecie","","E. W. Nelson & Goldman, 1929","Mamíferos","coyotes, lobos, perros, zorros","","Preocupación menor (lc)","","","","","",,,"","","","","","","","",,"","0"
"b7199d7422b5cf1199a1691388b80d20","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2018-09-17","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-SA","","Naturalista","https://www.inaturalist.org/observations/69907090","2023-05-26","2021-03","Canidae","Canis","Canis lupus baileyi","subespecie","","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus baileyi","subespecie","","E. W. Nelson & Goldman, 1929","Mamíferos","coyotes, lobos, perros, zorros","","Preocupación menor (lc)","","","","","",,,"","","","","","","","",,"","0"
"c2edbf3a0887f3e3f85bc280a80f9da9","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2016-12-01","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-SA","","Naturalista","https://www.inaturalist.org/observations/69908172","2023-05-26","2021-03","Canidae","Canis","Canis lupus baileyi","subespecie","","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus baileyi","subespecie","","E. W. Nelson & Goldman, 1929","Mamíferos","coyotes, lobos, perros, zorros","","Preocupación menor (lc)","","","","","",,,"","","","","","","","",,"","0"
