"idejemplar","numcatalogo","numcolecta","coleccion","institucion","fechacolecta","calificadordeterminacion","procedenciaejemplar","ejemplarfosil","obsusoinfo","cuarentena","formadecitar","licenciauso","probablelocnodecampo","proyecto","urlorigen","ultimafechaactualizacion","version","familia","genero","especie","categoriainfraespecie","categoriainfraespecie2","reinovalido","phylumdivisionvalido","clasevalida","ordenvalido","familiavalida","generovalido","especievalida","categoriainfraespecievalida","categoriainfraespecie2valida","autorvalido","grupobio","subgrupobio","cites","iucn","nom059","prioritaria","nivelprioridad","exoticainvasora","endemismo","longitud","latitud","paisoriginal","paismapa","estadooriginal","estadomapa","municipiooriginal","municipiomapa","localidad","anp","altitudmapa","regionmarinamapa","geoportal"
"d544331e69b2461478a978b17f5ded10","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2021-08-31","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","","","Naturalista","https://www.inaturalist.org/observations/93535002","2023-06-15","2021-03","Helodermatidae","Heloderma","Heloderma horridum","","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-106.7865195","24.3711703","MEXICO","MEXICO","SINALOA","SINALOA","COSALA","COSALA","Sinaloa, MX","","401","","0"
"36449f3ddfaeca021ab0a58ec3100873","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2021-04-10","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY","","Naturalista","https://www.inaturalist.org/observations/73703050","2023-06-15","2021-03","Helodermatidae","Heloderma","Heloderma horridum","","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-106.4585287","23.2176881","MEXICO","MEXICO","SINALOA","","MAZATLAN","","Sinaloa, MX","Federal: Islas del Golfo de California (a 0.893 km) / Estatal: Islas del municipio de Mazatlán: Isla Lobos (a 0.935 km)",,"GOLFO DE CALIFORNIA","0"
"361a67ffc6dc96aa9bc3e0f9deabdcc5","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2015-10-08","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2019. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-NC","","Naturalista","http://conabio.inaturalist.org/observations/5038476","2023-06-15","2021-03","Helodermatidae","Heloderma","Heloderma horridum horridum","subespecie","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-102.0270052","18.2918782","MEXICO","MEXICO","MICHOACAN DE OCAMPO","MICHOACAN DE OCAMPO","ARTEAGA","ARTEAGA","Michoacán, MX","Federal: Zicuirán-Infiernillo (a 0.017 km)","586","","0"
"3580bac35c33c18a1e524de2b2ef9d83","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2018-05-12","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2019. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","","","Naturalista","https://www.inaturalist.org/observations/12467944","2023-06-15","2021-03","Helodermatidae","Heloderma","Heloderma horridum","","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-106.4146276","23.358247","MEXICO","MEXICO","SINALOA","SINALOA","MAZATLAN","MAZATLAN","Sinaloa, MX","","78","","0"
"7b7526260de0e2dc57934db5727bf94a","8258","DRF 621 LAsu 36098","CNAR Colección Nacional de Anfibios y Reptiles","IBUNAM Instituto de Biología, Universidad Nacional Autónoma de México","1977-07-05","","PreservedSpecimen","","","","Sánchez Cordero V., Magallón S., Espinosa, H., Reynoso V.H., Escalante, P. y Cervantes, F. 2021. Digitalización y Sistematización de las Colecciones Biológicas Nacionales del Instituto de Biología, UNAM. Universidad Nacional Autónoma de México. Instituto de Biología. Bases de datos SNIB CONABIO (vertebrados), proyecto KE002. Ciudad de México","CC-BY","","KE002","","2023-05-26","2022-11","Helodermatidae","Heloderma","Heloderma horridum horridum","subespecie","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-104.95778","21.60778","MEXICO","MEXICO","NAYARIT","NAYARIT","","TEPIC","6.6 mi (By Méx 15) N Méx. 66 (Rd. To Santa Cruz)","","673","","1"
"3d0a3315c74799ccab6a724341448be1","S/N","NO DISPONIBLE","FMNH Amphibians and Reptiles Collection","FMNH Field Museum of Natural History","","","PreservedSpecimen","","","","Flores-Villela O. 1998. Formación de una base de datos y elaboración de un atlas de la herpetofauna de México. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto A014. México, D. F.","CC-BY","","A014","","2023-05-26","2021-03","Helodermatidae","Heloderma","Heloderma horridum horridum","subespecie","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-102.375","19.0916667","MEXICO","MEXICO","MICHOACAN DE OCAMPO","MICHOACAN DE OCAMPO","APATZINGAN","APATZINGAN","APATZINGAN","Estatal: La Laguna de Chandio (a 3.178 km)","302","","1"
"be3026d04bb2995802c1bbea5c457d6a","37142","NO DISPONIBLE","FMNH Amphibians and Reptiles Collection","FMNH Field Museum of Natural History","","","PreservedSpecimen","","","","Flores-Villela O. 1998. Formación de una base de datos y elaboración de un atlas de la herpetofauna de México. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto A014. México, D. F.","CC-BY","","A014","","2023-05-26","2021-03","Helodermatidae","Heloderma","Heloderma horridum horridum","subespecie","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","Apéndice II","Preocupación menor (lc)","Amenazada (A)","DOF 2014","Media","","Endémica","-102.375","19.0916667","MEXICO","MEXICO","MICHOACAN DE OCAMPO","MICHOACAN DE OCAMPO","APATZINGAN","APATZINGAN","APATZINGAN","Estatal: La Laguna de Chandio (a 3.178 km)","302","","1"
"3cbbbacfb8190894d20024fc06fb57b0","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2017-08-22","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","","","Naturalista","https://www.inaturalist.org/observations/7612461","2023-05-26","2021-03","Helodermatidae","Heloderma","Heloderma horridum","","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","","Preocupación menor (lc)","","","","","",,,"","","","","","","","",,"","0"
"485364d0e777bd9d5ae46f37f11c8674","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2016-05-23","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","CC-BY-NC","","Naturalista","http://conabio.inaturalist.org/observations/3485502","2023-05-26","2021-03","Helodermatidae","Heloderma","Heloderma horridum","","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","","Preocupación menor (lc)","","","","","",,,"","","","","","","","",,"","0"
"4e429db83f26f7f04472c46b7c8251be","","","Naturalista Naturalista","CONABIO Comisión Nacional para el Conocimiento y Uso de la Biodiversidad","2017-08-21","","HumanObservation","","Coordenada obscurecida https://www.inaturalist.org/pages/help#obscured.","","CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México","","","Naturalista","https://www.inaturalist.org/observations/7601150","2023-05-26","2021-03","Helodermatidae","Heloderma","Heloderma horridum","","","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma horridum","","","(Wiegmann, 1829)","Reptiles","camaleones, geckos, iguanas, lagartijas, lagartos","","Preocupación menor (lc)","","","","","",,,"","","","","","","","",,"","0"
